"date","value"
[2010-05-28,1.2466367713004485]
[2010-05-29,1.2918918918918918]
[2010-05-30,1.3333333333333333]
[2010-05-31,1.3513513513513513]
[2010-06-01,1.355072463768116]
[2010-06-02,1.3356643356643356]
[2010-06-03,1.582191780821918]
[2010-06-04,1.335820895522388]
[2010-06-05,1.3049645390070923]
[2010-06-06,1.3605442176870748]
[2010-06-07,1.325]
[2010-06-08,1.4076433121019107]
[2010-06-09,1.2634730538922156]
[2010-06-10,1.3417721518987342]
[2010-06-11,1.5204678362573099]
[2010-06-12,1.5912408759124088]
[2010-06-13,1.377245508982036]
[2010-06-14,1.6012658227848102]
[2010-06-15,1.4607329842931938]
[2010-06-16,1.3142857142857143]
[2010-06-17,1.4413793103448276]
[2010-06-18,1.2281879194630871]
[2010-06-19,1.4768211920529801]
[2010-06-20,1.2087912087912087]
[2010-06-21,1.5949367088607596]
[2010-06-22,1.4177215189873418]
[2010-06-23,1.3820224719101124]
[2010-06-24,1.3910614525139664]
[2010-06-25,1.4324324324324325]
[2010-06-26,1.3081761006289307]
[2010-06-27,1.2732558139534884]
[2010-06-28,1.5126582278481013]
[2010-06-29,1.5209580838323353]
[2010-06-30,1.5649717514124293]
[2010-07-01,1.341121495327103]
[2010-07-02,1.4022988505747127]
[2010-07-03,1.3658536585365855]
[2010-07-04,1.308139534883721]
[2010-07-05,1.3966480446927374]
[2010-07-06,1.286549707602339]
[2010-07-07,1.4093959731543624]
[2010-07-08,1.5]
[2010-07-09,1.3435897435897435]
[2010-07-10,1.22]
[2010-07-11,1.3626373626373627]
[2010-07-12,3.5490848585690515]
[2010-07-13,2.2457865168539324]
[2010-07-14,10.794425087108014]
[2010-07-15,2.11496062992126]
[2010-07-16,2.3110687022900764]
[2010-07-17,2.3333333333333335]
[2010-07-18,2.4277777777777776]
[2010-07-19,3.0424242424242425]
[2010-07-20,3.316666666666667]
[2010-07-21,2.299019607843137]
[2010-07-22,2.282608695652174]
[2010-07-23,2.0816326530612246]
[2010-07-24,4.801075268817204]
[2010-07-25,8.162162162162161]
[2010-07-26,1.86328125]
[2010-07-27,2.6226415094339623]
[2010-07-28,5.652439024390244]
[2010-07-29,16.230337078651687]
[2010-07-30,1.8532608695652173]
[2010-07-31,1.4898989898989898]
[2010-08-01,1.4934497816593886]
[2010-08-02,1.6547619047619047]
[2010-08-03,2.7955555555555556]
[2010-08-04,1.8847736625514404]
[2010-08-05,2.327272727272727]
[2010-08-06,2.271523178807947]
[2010-08-07,1.9261744966442953]
[2010-08-08,1.7661691542288558]
[2010-08-09,2.3297872340425534]
[2010-08-10,1.8592964824120604]
[2010-08-11,1.7802690582959642]
[2010-08-12,1.8018433179723503]
[2010-08-13,2.4292452830188678]
[2010-08-14,1.5431654676258992]
[2010-08-15,1.5347826086956522]
[2010-08-16,2.934306569343066]
[2010-08-17,2.640625]
[2010-08-18,2.746268656716418]
[2010-08-19,2.579710144927536]
[2010-08-20,2.2247191011235956]
[2010-08-21,1.9453551912568305]
[2010-08-22,1.722488038277512]
[2010-08-23,1.7655502392344498]
[2010-08-24,1.7302325581395348]
[2010-08-25,1.7136363636363636]
[2010-08-26,1.7729468599033817]
[2010-08-27,1.5885714285714285]
[2010-08-28,2.046511627906977]
[2010-08-29,1.6097560975609757]
[2010-08-30,2.1944444444444446]
[2010-08-31,2.4345549738219896]
[2010-09-01,2.4213836477987423]
[2010-09-02,2.045751633986928]
[2010-09-03,1.903030303030303]
[2010-09-04,1.550561797752809]
[2010-09-05,1.9079754601226995]
[2010-09-06,1.7530864197530864]
[2010-09-07,1.7721518987341771]
[2010-09-08,2.05]
[2010-09-09,2.2797202797202796]
[2010-09-10,2.069364161849711]
[2010-09-11,2.0]
[2010-09-12,1.9153439153439153]
[2010-09-13,2.63905325443787]
[2010-09-14,2.14070351758794]
[2010-09-15,2.5]
[2010-09-16,2.05]
[2010-09-17,1.7142857142857142]
[2010-09-18,1.6919831223628692]
[2010-09-19,1.6854460093896713]
[2010-09-20,2.314720812182741]
[2010-09-21,4.15819209039548]
[2010-09-22,4.141176470588236]
[2010-09-23,3.008695652173913]
[2010-09-24,2.1610169491525424]
[2010-09-25,2.4088669950738915]
[2010-09-26,2.05]
[2010-09-27,2.747863247863248]
[2010-09-28,2.2546296296296298]
[2010-09-29,5.892215568862276]
[2010-09-30,2.517730496453901]
[2010-10-01,3.496774193548387]
[2010-10-02,5.0095238095238095]
[2010-10-03,3.322314049586777]
[2010-10-04,2.625]
[2010-10-05,2.934959349593496]
[2010-10-06,2.5393939393939395]
[2010-10-07,2.0773809523809526]
[2010-10-08,2.3398692810457518]
[2010-10-09,2.5276073619631902]
[2010-10-10,2.0584795321637426]
[2010-10-11,2.0764331210191083]
[2010-10-12,2.34375]
[2010-10-13,2.0229885057471266]
[2010-10-14,1.84]
[2010-10-15,1.8426966292134832]
[2010-10-16,1.6653696498054475]
[2010-10-17,1.7296296296296296]
[2010-10-18,2.231075697211155]
[2010-10-19,3.7233201581027666]
[2010-10-20,2.7991967871485945]
[2010-10-21,2.79126213592233]
[2010-10-22,3.6903225806451614]
[2010-10-23,3.2280701754385963]
[2010-10-24,2.6965174129353233]
[2010-10-25,1.9761904761904763]
[2010-10-26,2.103734439834025]
[2010-10-27,2.7136150234741785]
[2010-10-28,2.213636363636364]
[2010-10-29,2.1036036036036037]
[2010-10-30,1.701195219123506]
[2010-10-31,1.7112299465240641]
[2010-11-01,1.9887640449438202]
[2010-11-02,1.6285714285714286]
[2010-11-03,1.7724867724867726]
[2010-11-04,1.7352941176470589]
[2010-11-05,1.9906976744186047]
[2010-11-06,1.8202764976958525]
[2010-11-07,1.7448559670781894]
[2010-11-08,1.9889705882352942]
[2010-11-09,1.8883928571428572]
[2010-11-10,1.9651741293532339]
[2010-11-11,1.8101851851851851]
[2010-11-12,1.6954022988505748]
[2010-11-13,1.5454545454545454]
[2010-11-14,1.6111111111111112]
[2010-11-15,19.379310344827587]
[2010-11-16,50.73232323232323]
[2010-11-17,1.7950819672131149]
[2010-11-18,3.5232558139534884]
[2010-11-19,65.92903225806451]
[2010-11-20,82.29661016949153]
[2010-11-21,72.73913043478261]
[2010-11-22,2.253086419753086]
[2010-11-23,2.4295774647887325]
[2010-11-24,22.30057803468208]
[2010-11-25,27.60989010989011]
[2010-11-26,7.005235602094241]
[2010-11-27,2.443243243243243]
[2010-11-28,2.75]
[2010-11-29,2.1516587677725116]
[2010-11-30,2.2524752475247523]
[2010-12-01,2.6666666666666665]
[2010-12-02,2.481675392670157]
[2010-12-03,2.0320855614973263]
[2010-12-04,1.8201754385964912]
[2010-12-05,1.825]
[2010-12-06,1.9369747899159664]
[2010-12-07,2.3666666666666667]
[2010-12-08,2.219917012448133]
[2010-12-09,2.168141592920354]
[2010-12-10,2.5594405594405596]
[2010-12-11,3.07909604519774]
[2010-12-12,3.6511627906976742]
[2010-12-13,4.5793103448275865]
[2010-12-14,3.863905325443787]
[2010-12-15,3.3684210526315788]
[2010-12-16,3.0056818181818183]
[2010-12-17,2.7710843373493974]
[2010-12-18,3.0754716981132075]
[2010-12-19,2.9945945945945946]
[2010-12-20,5.832298136645963]
[2010-12-21,3.2564102564102564]
[2010-12-22,4.098765432098766]
[2010-12-23,3.5734265734265733]
